code,stage,affected_files,strict_blockers,permissive_blockers,sample
"check.the_call_to_name_requires_name_which_could_not_be","check","373","219","0","constraint error: the call to `loop` requires `i%76 >= 0` , which could not be proved from nothing at all"
"check.the_result_of_name_requires_name_which_could_not_be","check","308","177","0","constraint error: the result of `json_object_is_null` requires `%self == l == null` , which could not be proved from nothing at all"
"parse.expected_a_definition","parse","133","133","133","parse error at 27:13: expected a definition"
"resolution.unknown_function","emit","142","118","141","emit error: unknown function `patsolve_cnstrnt__dynload`"
"parse.expected_an_expression","parse","99","99","99","parse error at 830:7: expected an expression"
"parse.expected_name_after_the_arguments","parse","78","78","78","parse error at 131:28: expected `)` after the arguments"
"parse.expected_name_after_the_parameters","parse","70","70","70","parse error at 30:8: expected `)` after the parameters"
"syntax.pattern_guards","parse","69","69","69","parse error at 321:5: pattern guards (`when`) are not supported yet"
"emit.name_is_implemented_but_never_declared_add_an_name_for","emit","100","61","71","emit error: `atsruntime_handle_uncaughtexn` is implemented but never declared; add an `extern fun` for it"
"emit.name_is_a_template_and_must_say_which_instance_it","emit","248","55","214","emit error: `length` is a template and must say which instance it means, as in `length<int>`"
"parse.expected_name_after_the_parenthesized_expression","parse","46","46","46","parse error at 495:15: expected `)` after the parenthesized expression"
"emit.cannot_tell_what_type_name_has_give_it_an_annotation","emit","90","45","62","emit error: cannot tell what type `the_tmpdeclst` has; give it an annotation"
"parse.expected_name_to_close_the_name_block","parse","42","42","42","parse error at 33:1: expected `}` to close the `where` block"
"lex.invalid_integer_literal_name","lex","31","31","31","lex error at 77:17: invalid integer literal `1`"
"syntax.pattern_bindings","parse","27","27","27","parse error at 62:1: a pattern binding is not supported at the top level"
"lex.expected_name_to_close_the_character_literal","lex","36","26","26","lex error at 27:14: expected `'` to close the character literal"
"parse.expected_name_after_the_bindings","parse","26","26","26","parse error at 53:16: expected `in` after the bindings"
"resolution.undefined_name","emit","31","24","31","emit error: undefined variable `N`"
"parse.unknown_escape_sequence_name","parse","21","21","21","parse error at 27:20: unknown escape sequence `\ `"
"emit.constructor_name_is_declared_twice_in_name","emit","19","19","19","emit error: constructor `D0Cextype` is declared twice in `d0ecl_node`"
"parse.expected_name_after_the_macro_name","parse","18","18","18","parse error at 90:10: expected `(` after the macro name"
"parse.expected_name_after_the_tuple","parse","17","17","17","parse error at 160:57: expected `)` after the tuple"
"parse.expected_name_in_the_binding","parse","16","16","16","parse error at 88:21: expected `=` in the binding"
"parse.expected_name_to_begin_the_parameter_list","parse","15","15","15","parse error at 41:16: expected `(` to begin the parameter list"
"parse.expected_a_pattern","parse","14","14","14","parse error at 44:21: expected a pattern"
"parse.expected_name_after_the_lambda_parameters","parse","12","12","12","parse error at 83:6: expected `=>` after the lambda parameters"
"check.the_subscript_into_name_requires_name_which_could_not_be","check","13","12","0","constraint error: the subscript into `A` requires `i < n` , which could not be proved from `n >= 0` and `i >= 0` and `i <= n` and `i < n2%2`"
"parse.expected_name_after_the_index","parse","11","11","11","parse error at 59:22: expected `]` after the index"
"runtime.first_class_functions","emit","11","11","11","emit error: function `twice$int` used as a value; higher-order functions are not supported yet"
"parse.expected_a_function_name","parse","10","10","10","parse error at 54:27: expected a function name"
"parse.expected_name_after_the_condition","parse","10","10","10","parse error at 105:14: expected `then` after the condition"
"lex.unknown_character_escape_name","lex","9","9","9","lex error at 189:7: unknown character escape `\(`"
"parse.expected_name_after_the_field_name","parse","9","9","9","parse error at 112:31: expected `=` after the field name"
"parse.expected_name_after_the_template_parameters","parse","9","9","9","parse error at 81:3: expected `)` after the template parameters"
"parse.expected_name_after_name","parse","7","7","7","parse error at 60:8: expected `(` after `$delay`"
"emit.name_is_a_constructor_but_the_value_being_matched_has","emit","7","6","7","emit error: `list_cons` is a constructor, but the value being matched has type ptr"
"parse.expected_name_after_the_let_body","parse","6","6","6","parse error at 84:36: expected `end` after the let body"
"emit.argument_to_name_has_type_ptr_expected_ptr","emit","7","5","6","emit error: argument to `listlen` has type ptr, expected ptr"
"parse.expected_a_type","parse","5","5","5","parse error at 58:24: expected a type"
"staload.target_error_name_names_no_file_looked_in_name_name","staload","5","5","5","target error: `staload ""declatext.dats""` names no file; looked in `/home/dbslim/Projects/ats2_rustified_to_llvm/ATS-Postiats/contrib/atscntrb/atscntrb-hx-libgmp/SATS/DOCUGEN`, `/home/dbslim/Projects/ats2_rustified_to_llvm/ATS-Postiats`"
"emit.name_must_produce_an_int_to_use_as_the_exit","emit","5","4","5","emit error: `main` must produce an int to use as the exit code, got void"
"parse.expected_a_name_name_or_a_pattern_after_name","parse","4","4","4","parse error at 23:5: expected a name, `_` or a pattern after `val`"
"parse.parameter_name_needs_a_type_annotation","parse","4","4","4","parse error at 78:27: parameter `seq` needs a type annotation"
"check.the_result_of_name_requires_name_which_given_name_and","check","89","3","82","constraint error: the result of `loop` requires `i + j - j + j + 1 == i + j` , which given `i >= 0` and `j >= 0`, is false"
"resolution.unknown_constructor","emit","4","3","3","emit error: unknown constructor `xx`"
"parse.expected_a_datatype_parameter","parse","3","3","3","parse error at 15:16: expected a datatype parameter"
"parse.expected_name_after_the_block","parse","3","3","3","parse error at 44:1: expected `}` after the block"
"parse.expected_name_after_the_constructor_fields","parse","3","3","3","parse error at 38:30: expected `)` after the constructor fields"
"emit.field_of_name_has_type_ptr_expected_i_number","emit","2","2","2","emit error: field of `list_cons` has type ptr, expected i64"
"emit.name_could_build_any_of_stream_con_ptr_stream_con","emit","2","2","2","emit error: `stream_nil` could build any of stream_con$ptr, stream_con$node; say which with a type annotation"
"emit.name_is_declared_with_number_parameter_s_but_implemented_with","emit","2","2","2","emit error: `parse_tyfldseq` is declared with 0 parameter(s) but implemented with 3"
"emit.name_writes_back_through_parameter_number_so_it_needs_something","emit","2","2","2","emit error: `for_loop3$fwork$int` writes back through parameter 2, so it needs something with an address there; declare it with `var`"
"parse.expected_name_after_the_record_fields","parse","2","2","2","parse error at 45:3: expected `}` after the record fields"
"parse.expected_name_in_the_name_block","parse","2","2","2","parse error at 80:1: expected `in` in the `local` block"
"parse.expected_name_in_the_name_type_alias","parse","2","2","2","parse error at 69:15: expected `=` in the `where` type alias"
"check.the_recursion_in_name_requires_name_which_could_not_be","check","234","2","0","constraint error: the recursion in `insort` requires `length(xs) >= 0` , which could not be proved from nothing at all"
"check.the_call_to_name_requires_name_which_given_name_and","check","8","1","8","constraint error: the call to `diff` requires `nr == nr2%8` , which given `n1%2 >= 0` and `n2%3 >= 0` and `n2%3 <= n1%2 && n1%2 <= n2%3 + 1` and `nr > 0` and `nr > nr2%8 + nr2%8`, is false"
"emit.arithmetic_requires_int_operands","emit","2","1","2","emit error: arithmetic requires int operands"
"emit.function_name_expects_number_argument_s_got_number","emit","2","1","2","emit error: function `fapp2` expects 1 argument(s), got 0"
"emit.pattern_name_names_number_field_s_but_it_has_number","emit","2","1","2","emit error: pattern `charlst_cons` names 1 field(s), but it has 2"
"emit.argument_to_name_has_type_i_number_expected_ptr","emit","1","1","1","emit error: argument to `phil_dine2` has type i64, expected ptr"
"emit.cannot_index_a_value_of_type_ptr_only_arrays_and","emit","1","1","1","emit error: cannot index a value of type ptr; only arrays and `argv` can be indexed"
"emit.cannot_make_a_double_out_of_a_ptr","emit","1","1","1","emit error: cannot make a double out of a ptr"
"emit.function_name_body_has_type_ptr_annotation_says_ptr","emit","1","1","1","emit error: function `point2vector_2d` body has type ptr, annotation says ptr"
"emit.function_name_body_has_type_ptr_annotation_says_ptr_did","emit","1","1","1","emit error: function `make_mat2x2` body has type ptr, annotation says ptr (did you forget the return type annotation `: <type>` before `=` in `fun make_mat2x2(...): <type> = ...`?)"
"emit.name_could_build_any_of_list_number_int_list_number","emit","1","1","1","emit error: `cons_vt` could build any of list0$int, list0$double; say which with a type annotation"
"emit.name_requires_a_bool_argument","emit","1","1","1","emit error: `assertloc` requires a bool argument"
"emit.this_is_not_something_that_can_be_assigned_to","emit","1","1","1","emit error: this is not something that can be assigned to"
"harness.timeout","timeout","1","1","1","timed out"
"parse.expected_name_and_a_return_type_after_the_parameters","parse","1","1","1","parse error at 29:22: expected `:` and a return type after the parameters"
"parse.only_a_name_cell_or_a_tuple_slot_can_be","parse","1","1","1","parse error at 59:45: only a `var` cell or a tuple slot can be assigned to"
"check.the_recursion_in_name_requires_name_which_given_name_and","check","18","0","10","constraint error: the recursion in `loop` requires `i + j - j < i` , which given `i >= 0` and `j >= 0`, is false"
"linearity.in_name_one_branch_gives_name_away_and_another_keeps","linearity","18","0","9","resource error: in `cstream_make_fun`, one branch gives `cs0` away and another keeps it, so what is held afterwards depends on which way it went"
"linearity.in_name_name_is_used_after_it_has_already_been","linearity","10","0","9","resource error: in `free_exp_node`, `en` is used after it has already been given away"
"emit.name_takes_number_type_argument_s_got_number","emit","8","0","6","emit error: `list0_map` takes 2 type argument(s), got 1"
"emit.cannot_assign_a_value_of_type_ptr_to_name_whose","emit","5","0","5","emit error: cannot assign a value of type ptr to `res`, whose type is ptr"
"check.the_recursion_in_name_requires_name_which_given_name_is","check","3","0","3","constraint error: the recursion in `list_zip` requires `n < n` , which given `n >= 0`, is false"
"check.the_recursion_in_name_requires_name_which_is_false","check","2","0","2","constraint error: the recursion in `insort` requires `length(xs) < length(xs)` , which is false"
"linearity.in_name_name_is_never_given_away","linearity","2","0","2","resource error: in `wordmap_find`, `map` is never given away"
"check.the_call_to_name_requires_name_on_a_path_that","check","1","0","1","constraint error: the call to `bstree_insert_atroot` requires `n%255 >= 0` on a path that cannot be reached"
"check.the_call_to_name_requires_name_which_is_false","check","1","0","1","constraint error: the call to `sllist_free_nil` requires `0 == 0 + 1 + 1 + 1 + 1 + 1` , which is false"
"check.the_result_of_name_requires_name_which_given_name_is","check","1","0","1","constraint error: the result of `bitvecptr_get_at` requires `2 >= 0 && 2 < 2` , which given `i%9 >= 0 && i%9 < n`, is false"
"emit.case_arms_have_different_types_ptr_vs_ptr","emit","1","0","1","emit error: case arms have different types (ptr vs ptr)"
"emit.internal_the_template_name_was_not_expanded","emit","1","0","1","emit error: internal: the template `gcompare_val_val` was not expanded"
"check.the_annotation_requires_name_which_could_not_be_proved_from","check","83","0","0","constraint error: the annotation requires `st%580 <= n` , which could not be proved from `n%582 >= 0` and `st%580 <= asz%584`"
"emit.datatype_name_is_declared_twice","emit","5","0","0","emit error: datatype `cstream` is declared twice"
"emit.name_is_declared_as_double_but_its_value_is_ptr","emit","2","0","0","emit error: `JSmath_E` is declared as double but its value is ptr"
